March,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Thompson,54.1,47.8,6.3,"$22,705.00",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Rosenthal,61.6,45.3,17.3,"$21,517.50",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Aden,44.0,42.5,1.5,"$9,987.50",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Barge,30.4,27.4,3.0,"$6,439.00",$281.11,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
CJI: Lawrence,5.0,5.0,0.0,$850.00,$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
CJI: Wasileski,7.6,7.6,0.0,"$1,786.00",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
CJI: Zafft,19.5,19.5,0.0,"$3,315.00",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Donegan,20.3,20.3,0.0,"$3,451.00",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Drake (Exec. Ass't),2.0,2.0,0.0,$75.00,$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Drake,5.7,5.7,0.0,"$1,339.50",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Goodrich,4.5,4.5,0.0,"$1,057.50",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Joyce,21.1,21.1,0.0,"$4,958.50",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
McDonough,31.1,26.3,4.8,"$6,180.50",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Ramsey,40.5,40.5,0.0,"$9,517.50",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Sargent,22.5,19.0,3.5,"$4,465.00",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Smoot,8.0,8.0,0.0,"$1,880.00",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
